rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_teff,st_mass,st_rad,rowupdate
352,HD 164604,b,Radial Velocity,1,606.40000000,1.300000,0.240000,2.70000,37.98,,,,2014-05-14
353,HD 164922,b,Radial Velocity,1,1155.00000000,2.110000,0.050000,0.36000,21.92,5385.00,0.94,,2014-05-14
354,HD 1666,b,Radial Velocity,1,270.00000000,0.940000,0.630000,6.43000,110.62,6317.00,1.50,1.93,2015-04-01
355,HD 166724,b,Radial Velocity,1,5144.00000000,5.420000,0.734000,3.53000,42.99,5127.00,0.81,,2014-05-14
356,HD 167042,b,Radial Velocity,1,420.77000000,1.320000,0.089000,1.70000,50.00,4943.00,1.50,4.50,2014-05-14
357,HD 168443,b,Radial Velocity,2,58.11247000,0.293100,0.528830,7.65900,37.88,5491.00,0.99,1.51,2014-06-25
358,HD 168443,c,Radial Velocity,2,1749.83000000,2.837300,0.211300,17.19300,37.88,5491.00,0.99,1.51,2015-02-05
359,HD 168746,b,Radial Velocity,1,6.40400000,0.065900,0.107000,0.24800,43.12,5564.00,0.93,,2014-06-25
360,HD 1690,b,Radial Velocity,1,533.00000000,1.300000,0.640000,6.10000,7.01,4393.00,1.09,16.70,2014-05-14
361,HD 169830,b,Radial Velocity,2,225.62000000,0.810000,0.310000,2.88000,36.32,6299.00,1.40,,2014-06-25
362,HD 169830,c,Radial Velocity,2,2102.00000000,3.600000,0.330000,4.04000,36.32,6299.00,1.40,,2014-06-25
363,HD 170469,b,Radial Velocity,1,1145.00000000,2.100000,0.110000,0.67000,64.98,5810.00,1.14,1.22,2014-07-02
364,HD 17092,b,Radial Velocity,1,359.90000000,,0.166000,4.60000,,4650.00,2.30,,2014-07-02
365,HD 171028,b,Radial Velocity,1,550.00000000,1.320000,0.590000,1.98000,90.00,5663.00,0.99,1.95,2014-07-02
366,HD 171238,b,Radial Velocity,1,1523.00000000,2.540000,0.400000,2.60000,44.05,5467.00,0.94,,2014-07-02
367,HD 17156,b,Radial Velocity,1,21.21663000,0.161400,0.681900,3.22000,75.00,6100.00,1.24,1.44,2014-10-29
368,HD 173416,b,Radial Velocity,1,323.60000000,1.160000,0.210000,2.70000,134.95,4683.00,2.00,13.50,2014-07-09
369,HD 175167,b,Radial Velocity,1,1290.00000000,2.400000,0.540000,7.80000,67.02,,,,2014-05-14
370,HD 175541,b,Radial Velocity,1,297.30000000,1.030000,0.330000,0.61000,127.55,5060.00,1.65,3.80,2014-07-09
371,HD 175607,b,Radial Velocity,1,29.01000000,,0.110000,0.02825,45.27,5392.00,0.71,0.70,2015-11-19
372,HD 177830,b,Radial Velocity,2,406.60000000,1.221800,0.009000,1.49000,59.03,4949.00,1.47,2.62,2014-05-14
373,HD 177830,c,Radial Velocity,2,110.90000000,0.513700,0.300000,0.15000,59.03,4949.00,1.47,2.62,2014-05-14
374,HD 178911 B,b,Radial Velocity,1,71.48400000,0.339000,0.114000,7.03000,47.00,5668.00,1.01,,2014-05-14
375,HD 179079,b,Radial Velocity,1,14.47600000,0.121600,0.115000,0.08660,63.69,5684.00,1.15,1.60,2014-07-09
376,HD 179949,b,Radial Velocity,1,3.09251400,0.044300,0.022000,0.91600,27.05,6168.00,1.21,,2014-07-09
377,HD 180314,b,Radial Velocity,1,396.03000000,1.400000,0.257000,22.00000,131.75,4917.00,2.60,9.20,2015-09-10
378,HD 180902,b,Radial Velocity,1,479.00000000,1.390000,0.090000,1.60000,114.55,5030.00,1.52,4.10,2014-05-14
379,HD 181342,b,Radial Velocity,1,562.10000000,1.650000,0.100000,2.90000,110.62,5040.00,1.89,5.12,2016-03-17
380,HD 181433,b,Radial Velocity,3,9.37430000,0.080000,0.396000,0.02400,26.15,4962.00,0.78,,2014-07-23
381,HD 181433,c,Radial Velocity,3,962.00000000,1.760000,0.280000,0.64000,26.15,4962.00,0.78,,2014-07-23
382,HD 181433,d,Radial Velocity,3,2172.00000000,3.000000,0.480000,0.54000,26.15,4962.00,0.78,,2014-07-23
383,HD 181720,b,Radial Velocity,1,956.00000000,1.780000,0.260000,0.37000,55.93,5781.00,0.92,1.39,2014-07-23
384,HD 183263,b,Radial Velocity,2,626.50000000,1.510000,0.356700,3.67000,52.83,5936.00,1.17,,2014-07-23
385,HD 183263,c,Radial Velocity,2,3070.00000000,4.350000,0.239000,3.57000,52.83,5936.00,1.17,,2014-07-23
386,HD 185269,b,Radial Velocity,1,6.83800000,0.077000,0.300000,0.94000,47.37,5980.00,1.28,1.88,2014-07-23
387,HD 187085,b,Radial Velocity,1,986.00000000,2.050000,0.470000,0.75000,44.98,6075.00,1.22,,2014-07-23
388,HD 187123,b,Radial Velocity,2,3.09658280,0.042600,0.010300,0.52300,47.92,5830.00,1.00,,2014-07-23
389,HD 187123,c,Radial Velocity,2,3810.00000000,4.890000,0.252000,1.99000,47.92,5830.00,1.00,,2014-07-23
390,HD 18742,b,Radial Velocity,1,772.00000000,1.920000,0.120000,2.70000,127.88,5048.00,1.60,4.90,2014-05-14
391,HD 188015,b,Radial Velocity,1,461.20000000,1.203000,0.137000,1.50000,52.63,5746.00,1.09,,2014-07-23
392,HD 189733,b,Radial Velocity,1,2.21857520,,,,19.25,4875.00,0.85,0.81,2015-04-24
393,HD 190360,b,Radial Velocity,2,2915.00000000,4.010000,0.313000,1.56000,15.89,5590.00,0.96,1.13,2014-08-21
394,HD 190360,c,Radial Velocity,2,17.11100000,0.130400,0.237000,0.06000,15.89,5590.00,0.96,1.13,2014-08-21
395,HD 190647,b,Radial Velocity,1,1038.10000000,2.070000,0.180000,1.90000,54.23,5628.00,1.10,,2014-05-14
396,HD 190984,b,Radial Velocity,1,4885.00000000,5.500000,0.570000,3.10000,189.39,5988.00,0.91,1.53,2014-08-21
397,HD 191806,b,Radial Velocity,1,1606.30000000,2.800000,0.259000,8.52000,73.47,6010.00,1.14,,2016-05-19
398,HD 192263,b,Radial Velocity,1,24.35870000,0.153120,0.008000,0.73300,19.89,4996.00,0.81,0.73,2015-03-26
399,HD 192310,b,Radial Velocity,2,74.72000000,0.320000,0.130000,0.05320,8.82,5166.00,0.80,,2015-07-02
400,HD 192310,c,Radial Velocity,2,525.80000000,1.180000,0.320000,0.07600,8.82,5166.00,0.80,,2015-07-02
401,HD 192699,b,Radial Velocity,1,345.53000000,1.150000,0.129000,2.40000,67.39,5220.00,1.68,3.90,2014-08-21
402,HD 195019,b,Radial Velocity,1,18.20132000,0.138800,0.013800,3.69000,37.35,5788.00,1.07,,2014-07-23
403,HD 196050,b,Radial Velocity,1,1378.00000000,2.540000,0.228000,2.90000,46.93,5892.00,1.15,,2014-08-21
404,HD 196067,b,Radial Velocity,1,3638.00000000,5.020000,0.660000,6.90000,43.57,6017.00,1.29,1.73,2014-05-14
405,HD 196885,b,Radial Velocity,1,1333.00000000,2.370000,0.480000,2.58000,32.99,6254.00,1.28,1.31,2014-08-21
406,HD 197037,b,Radial Velocity,1,1035.70000000,2.070000,0.220000,0.79000,32.83,,,,2014-05-14
407,HD 19994,b,Radial Velocity,1,466.20000000,1.305000,0.063000,1.37000,22.38,6190.00,1.37,,2014-05-14
408,HD 200964,b,Radial Velocity,2,613.80000000,1.601000,0.040000,1.85000,68.35,5164.00,1.44,4.30,2014-05-14
409,HD 200964,c,Radial Velocity,2,825.00000000,1.950000,0.181000,0.89500,68.35,5164.00,1.44,4.30,2014-05-14
410,HD 202206,b,Radial Velocity,2,255.87000000,0.830000,0.435000,17.40000,46.34,5765.00,1.15,,2015-08-27
